phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
REAL,DELETE,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא,no,,
REAL,ORPHAN,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא,no,,
REAL,DELETE,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא,no,,
REAL,ORPHAN,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה,no,,
REAL,DELETE,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה,no,,
REAL,ORPHAN,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות,no,,
REAL,DELETE,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות,no,,
REAL,ORPHAN,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות,no,,
REAL,DELETE,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות,no,,
REAL,ORPHAN,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין,no,,
REAL,DELETE,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין,no,,
REAL,ORPHAN,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים,no,,
REAL,DELETE,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים,no,,
REAL,ORPHAN,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה,no,,
REAL,DELETE,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה,no,,
REAL,ORPHAN,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין,no,,
REAL,DELETE,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין,no,,
REAL,ORPHAN,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות,no,,
REAL,DELETE,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות,no,,
REAL,ORPHAN,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא,no,,
REAL,DELETE,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא,no,,
REAL,ORPHAN,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות,no,,
REAL,DELETE,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות,no,,
REAL,ORPHAN,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות,no,,
REAL,DELETE,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות,no,,
REAL,ORPHAN,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה,no,,
REAL,DELETE,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה,no,,
REAL,ORPHAN,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן,no,,
