phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
DRYRUN,PLAN_DELETE,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה_links.json,שערי תורת בבל על מגילה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים,no,,
